iter	MultiClass
0	1.561062962
1	1.525194819
2	1.475363437
3	1.426693546
4	1.38204623
5	1.343824601
6	1.306881431
7	1.2750378
8	1.240805528
9	1.209342467
10	1.18387647
11	1.157372892
12	1.131292341
13	1.106696889
14	1.079585039
15	1.051971722
16	1.030167708
17	1.007627421
18	0.9851308301
19	0.9638235548
20	0.943616454
21	0.9274250945
22	0.909640016
23	0.8908138173
24	0.8736387239
25	0.857970229
26	0.839365863
27	0.8240243731
28	0.8089740891
29	0.792134659
30	0.7794010205
31	0.7651736021
32	0.749670557
33	0.7358006816
34	0.723957795
35	0.7114548564
36	0.7009041963
37	0.6913492422
38	0.6812341778
39	0.6699985967
40	0.6586803115
41	0.6479321299
42	0.6385130861
43	0.628690394
44	0.6177656161
45	0.6100758037
46	0.6010525226
47	0.5911278719
48	0.5824650644
49	0.5767711217
