iter	Passed	Remaining
0	10	508
1	20	485
2	31	497
3	43	496
4	52	473
5	62	460
6	71	437
7	79	417
8	88	403
9	96	384
10	109	388
11	126	399
12	141	402
13	156	401
14	189	441
15	224	476
16	283	550
17	330	588
18	354	577
19	377	566
20	397	548
21	424	539
22	441	518
23	457	496
24	476	476
25	493	455
26	509	434
27	528	415
28	543	393
29	560	373
30	576	353
31	595	334
32	611	315
33	632	297
34	648	278
35	664	258
36	678	238
37	693	219
38	710	200
39	731	182
40	748	164
41	755	143
42	763	124
43	767	104
44	771	85
45	776	67
46	779	49
47	784	32
48	788	16
49	794	0
